
Net n0 33
15 8869655 2945810 23
16 8872120 2983070 28
17 8929325 3021050 27
18 8904800 2986490 22
19 8869655 3000530 28
20 8868895 2983430 10
21 9149585 2870895 0
22 8904800 2945450 0
23 8894735 2945810 1
24 8868525 2945810 15
25 8869655 2942535 15
26 8868525 2952450 24
27 8929325 3014210 14
28 8869655 2983430 20
29 8872995 3000530 19
30 8872995 3003590 29


Net n10 26
0 8916050 2597135 0
1 8898020 2946010 21
2 8914125 3044595 14
3 8824130 2600390 24
4 9004125 2976145 25
5 8902580 2966530 1
6 8887380 2942590 21
7 8875220 2863930 23
8 8898020 2853670 13
9 8951365 2863335 22
10 8980100 3072550 17
11 8962620 2887870 9
12 8955165 2849655 22
13 8911085 2853075 19
14 8907285 3017235 25
15 8933125 2849655 19
16 8871565 2897535 23
17 8961245 3068535 2
18 8886005 2870175 20
19 8911085 2849655 24
20 8898020 2870175 8
21 8898020 2942590 20
22 8951365 2849655 15
23 8875220 2870175 18
24 8911085 2600390 0
25 8907285 2976145 5

